(0.00, 0.00, -1.00)
(-0.01, 0.01, -1.00)
(0.00, -0.03, -1.00)
(0.03, 0.04, -1.00)
(-0.06, -0.01, -1.00)
(0.07, -0.04, -1.00)
(-0.02, 0.09, -1.00)
(-0.05, -0.10, -0.99)
(0.12, 0.04, -0.99)
(-0.13, 0.05, -0.99)
(0.07, -0.14, -0.99)
(0.05, 0.16, -0.99)
(-0.16, -0.09, -0.98)
(0.20, -0.04, -0.98)
(-0.13, 0.18, -0.98)
(-0.03, -0.23, -0.97)
(0.19, 0.16, -0.97)
(-0.26, 0.01, -0.96)
(0.20, -0.20, -0.96)
(-0.01, 0.29, -0.96)
(-0.20, -0.24, -0.95)
(0.32, 0.04, -0.95)
(-0.28, 0.19, -0.94)
(0.08, -0.35, -0.94)
(0.18, 0.32, -0.93)
(-0.36, -0.12, -0.92)
(0.36, -0.17, -0.92)
(-0.16, 0.38, -0.91)
(-0.15, -0.40, -0.90)
(0.39, 0.20, -0.90)
(-0.44, 0.12, -0.89)
(0.25, -0.39, -0.88)
(0.08, 0.47, -0.88)
(-0.39, -0.30, -0.87)
(0.51, -0.04, -0.86)
(-0.35, 0.39, -0.85)
(0.00, -0.54, -0.84)
(0.37, 0.40, -0.84)
(-0.56, -0.05, -0.83)
(0.46, -0.35, -0.82)
(-0.10, 0.58, -0.81)
(-0.32, -0.51, -0.80)
(0.59, 0.16, -0.79)
(-0.55, 0.29, -0.78)
(0.22, -0.60, -0.77)
(0.25, 0.60, -0.76)
(-0.60, -0.28, -0.75)
(0.64, -0.20, -0.74)
(-0.34, 0.59, -0.73)
(-0.15, -0.68, -0.72)
(0.58, 0.41, -0.71)
(-0.71, 0.09, -0.70)
(0.47, -0.56, -0.68)
(0.03, 0.74, -0.67)
(-0.53, -0.53, -0.66)
(0.76, 0.03, -0.65)
(-0.59, 0.50, -0.64)
(0.10, -0.77, -0.63)
(0.45, 0.65, -0.61)
(-0.78, -0.17, -0.60)
(0.70, -0.40, -0.59)
(-0.25, 0.78, -0.58)
(-0.35, -0.75, -0.56)
(0.77, 0.32, -0.55)
(-0.79, 0.29, -0.54)
(0.39, -0.76, -0.52)
(0.22, 0.83, -0.51)
(-0.73, -0.47, -0.50)
(0.86, -0.15, -0.48)
(-0.54, 0.70, -0.47)
(-0.08, -0.89, -0.45)
(0.66, 0.61, -0.44)
(-0.90, 0.00, -0.43)
(0.67, -0.62, -0.41)
(-0.08, 0.91, -0.40)
(-0.56, -0.73, -0.38)
